setor,telefone,tipo,email
SECAD,(92) 9 2101-1000,whatsapp,
SECAD LESTE,(92) 9 8414-9639,whatsapp,
SECAD NORTE,(92) 9 8474-8569,whatsapp,
SECAD SUL,(92) 9 8403-6148,whatsapp,
SECAD COMPENSA,(92) 9 8456-7537,whatsapp,
ALUNO COM DISCIPLINA EAD,(92) 9 8646-0347,whatsapp,
CENTRAL DE MATRÍCULAS,(92) 9 8415-6346,whatsapp,
COORD. MEDICINA,(92) 9 8455-4407,whatsapp,
FIES,(92) 9 8429-5193,whatsapp,
COBRAFIX,(92) 800-888-0097,telefone,
CLÍNICAS ODONTO,(92) 9 8646-0124,whatsapp,
FACULDADE SANTA TERESA,(92) 9 8403-0034,whatsapp,
IDIOMAS FAMETRO,(92) 9 8160-9230,whatsapp,
COLÉGIO FAMETRO,(92) 9 8441-5087,whatsapp,
NADI,(92) 9 8426-9222,whatsapp,
COORD. PÓS,(92) 9 8445-9399,whatsapp,
EJA E TÉCNICO,(92) 9 3090-9005,whatsapp,
CASA FAMETRO/VET,(92) 98646-1081,whatsapp,
Clínicas Fametro,(92) 98646-1141,whatsapp,
Direção Jurídica,(092) 2101-1013,telefone,juridico@fametro.edu.br
Direção Jurídica,(092) 98403-2186,telefone,juridico@fametro.edu.br
NADI,(92) 9 8426-9222,whatsapp,
